name,ratings,price,storage,ram,android_version
"SAMSUNG Galaxy A10s (Blue, 32 GB)",4.6,9490,32,2,12
"SAMSUNG Galaxy Note 8 (Orchid Grey, 64 GB)",4.2,8464,64,6,10
"SAMSUNG Galaxy M01 (Red, 32 GB)",4.3,8999,32,3,10
"SAMSUNG Galaxy A70s (Prism Crush White, 128 GB)",4.2,31000,128,6,10
"SAMSUNG Galaxy M32 Prime Edition (Black, 64 GB)",4.2,12185,64,4,8
"SAMSUNG Galaxy M11 (Metallic Blue, 32 GB)",4.3,10999,32,3,11
"SAMSUNG Galaxy F41 (Fusion Blue, 64 GB)",4.3,15999,64,6,8
"SAMSUNG Galaxy A52 (Awesome Black, 128 GB)",4.3,31999,128,8,12
"SAMSUNG Galaxy J6 (Black, 32 GB)",4.4,11500,32,3,7
"SAMSUNG Galaxy M32 Prime Edition (Black, 128 GB)",4.3,15200,128,6,10
"SAMSUNG Galaxy J2 2018 (Gold, 16 GB)",4.5,8200,16,2,11
"SAMSUNG Galaxy A12 (Blue, 128 GB)",4.1,17999,128,6,10
"SAMSUNG M32 5G (Sky blue, 128 GB)",4.2,16200,128,6,10
"SAMSUNG Galaxy M01 (Blue, 32 GB)",4.6,8999,32,3,8
"SAMSUNG Galaxy F41 (Fusion Blue, 128 GB)",4.4,14499,128,6,8
"SAMSUNG Galaxy A7 (Gold, 64 GB)",4.2,22300,64,4,13
"SAMSUNG Galaxy J2 Core (Black, 16 GB)",4.4,6999,16,1,11
"SAMSUNG Galaxy S23 Ultra 5G (Phantom Black, 1 TB)",4.1,23927,1,12,10
"SAMSUNG Galaxy F42 5G (Matte Black, 128 GB)",4.3,20999,128,6,10
"SAMSUNG Galaxy F41 (Fusion Green, 64 GB)",4.3,15999,64,6,11
"SAMSUNG M31s (Mirage Blue, 128 GB)",4.1,24999,128,8,9
"SAMSUNG Galaxy A32 (Awesome Blue, 128 GB)",4.4,24999,128,6,9
"SAMSUNG Galaxy A50 (White, 64 GB)",4.3,24000,64,6,11
"SAMSUNG Galaxy A70 (Blue, 128 GB)",4.4,30900,128,6,10
"SAMSUNG Galaxy F22 (Denim Blue, 128 GB)",4.1,13499,128,6,11
"SAMSUNG Galaxy M01 (Black, 32 GB)",4.2,8999,32,3,4
"SAMSUNG Galaxy M42 (Prism Dot Gray, 128 GB)",4.2,18990,128,8,10
"SAMSUNG Galaxy core prime (Milky White, 8 GB)",4.1,8999,8,1,10
"SAMSUNG GALAXY M31S (Mirage Black, 128 GB)",4.3,23900,128,8,10
"SAMSUNG Galaxy M21 (Iceberg Blue, 64 GB)",4.2,14775,64,4,10
"SAMSUNG Galaxy A21s (Black, 128 GB)",4,16999,128,6,10
"SAMSUNG Galaxy M02 (Gray, 32 GB)",4.3,8499,32,3,13
"SAMSUNG Galaxy M31 (Space Black, 128 GB)",4.5,18799,128,8,10
"SAMSUNG Galaxy S23 Plus 5G (Phantom Black, 256 GB)",4.3,29463,256,8,9
"SAMSUNG Galaxy A51 (Prism Crush Black, 128 GB)",4.3,20999,128,6,11
"SAMSUNG Galaxy A70 (Black, 128 GB)",4.2,30900,128,6,13
"SAMSUNG Galaxy M52 5G (Blazing Black, 128 GB)",4.1,23068,128,6,9
"SAMSUNG Galaxy A20s (Green, 32 GB)",4.4,12900,32,3,10
"SAMSUNG Galaxy S23 Ultra 5G (Green, 1 TB)",4.3,23927,1,12,7
"SAMSUNG Galaxy A70s (Prism Crush Red, 128 GB)",4.3,32000,128,8,5
"SAMSUNG Galaxy A31 (Prism Crush Black, 128 GB)",4.6,23999,128,6,8
"SAMSUNG Galaxy Note 8 (Midnight Black, 64 GB)",4.1,8464,64,6,10
"SAMSUNG Galaxy duos (White, 4 GB)",4.2,13390,4,1,10
"SAMSUNG Galaxy A7 (Blue, 64 GB)",4.4,22300,64,4,11
"SAMSUNG Galaxy Note 20 (Mystic Blue, 256 GB)",4.2,20464,256,8,11
"SAMSUNG Galaxy S20+ (Cosmic Black, 128 GB)",4.4,17464,128,8,6
"SAMSUNG Galaxy Z Flip3 5G (Phantom Black, 256 GB)",4.3,23463,256,8,10
"SAMSUNG Galaxy A12 (Blue, 128 GB)",4.5,12867,128,6,8
"SAMSUNG Galaxy J7 Prime (Gold, 32 GB)",4.3,15300,32,3,8
"SAMSUNG Galaxy A31 (Prism Crush Blue, 128 GB)",4.4,16999,128,6,10
"SAMSUNG Galaxy J8 (Blue, 64 GB)",4.4,17000,64,4,10
"SAMSUNG Galaxy J8 (Black, 64 GB)",4.2,17000,64,4,10
"SAMSUNG Galaxy M31s (Mirage Blue, 128 GB)",4.1,18999,128,6,9
"SAMSUNG Galaxy A32 (Awesome Black, 128 GB)",4.5,24999,128,6,9
"SAMSUNG Galaxy F41 (Fusion Black, 128 GB)",4.4,14499,128,6,9
"SAMSUNG Galaxy A10s (Black, 32 GB)",4.3,10000,32,2,9
"SAMSUNG Galaxy A50 (Blue, 64 GB)",4.2,21000,64,4,8
"SAMSUNG Galaxy M40 (Seawater Blue, 128 GB)",4.5,21490,128,6,9
"SAMSUNG Galaxy A30s (Prism Crush Violet, 64 GB)",4.3,16199,64,4,12
"SAMSUNG Galaxy J4 Plus (Black, 32 GB)",4.4,9000,32,2,8
"SAMSUNG Galaxy M01s (Gray, 32 GB)",4.2,10999,32,3,9
"SAMSUNG Galaxy S22 (Pink Gold, 128 GB)",4.2,20463,128,8,12
